APIs	Method	Payload	Urls	Response	Target Date	Completetion Date	Status	Remarks
Staff Registration	POST	{ "username": "manager_raj","email": "raj@bank.com","role_id": 1,"password": "RajSecurePassword@2026","confirm_password": "RajSecurePassword@2026"}	/api/admin/staff/register/	{"id": 102, "username": "manager_raj", "status": "PENDING_APPROVAL"}	June 4, 2026	4 June 2026	Done	Staff is registered
Approve Staff Member	PATCH	{"is_active": true}	/api/admin/staff/102/	{"id": 102, "username": "manager_raj", "is_active": true, "status": "APPROVED"}	June 4, 2026	4 June 2026	Done	Super Admin updates the staff profile state, changing the status from pending to approved to activate their banking access.
List all staff	GET	NONE	/api/admin/staff/	[{"id": 102, "username": "manager_raj", "email": "raj@bank.com", "role": "MANAGER", "is_active": true, "is_staff": true, "date_joined": "2026-06-05T10:00:00Z"}]	June 5, 2026	5 June 2026	Done	Retrieves a complete directory of all registered staff members with their assigned roles and active status for administrative oversight.
Retrieve Single Staff	GET	NONE	/api/admin/staff/102/	{"id": 102, "username": "manager_raj", "email": "raj@bank.com", "role": "MANAGER", "is_active": true, "is_staff": true, "date_joined": "2026-06-05T10:00:00Z"}	June 5, 2026	5 June 2026	Done	Fetches isolated profile details of a specific staff member using their unique ID for targeted role verification and access auditing.
Log Cash Deposit	POST	{"account_id": 1,"amount": "15000.00","counter_id": 5}	/api/bank/transactions/deposit/	{"transaction_id": "TXN_DEP_9981", "new_balance": "20000.00", "status": "SUCCESS"}	5June 2026	5 June 2026	Done	Logs a cash deposit transaction atomically against the target account, updating the live balance and returning a unique transaction reference ID.
View  Deposit Logs	GET	NONE	/api/bank/transactions/deposit-logs/	[{"id": 1, "account": 1, "transaction_type": "DEPOSIT", "amount": "15000.00", "counter_id": "CTR_05", "timestamp": "2026-06-05T10:00:00Z"}]	5 June 2026	5 June 2026	Done	Retrieves a filtered audit list of all DEPOSIT-type transactions recorded across the banking ledger for reconciliation purposes.
Log Cash Withdrawal	POST	{"account_id": 1,"amount": "2000.00","signature_verified": true}	/api/bank/transactions/withdraw/	{"transaction_id": "TXN_WTH_9982", "new_balance": "18000.00", "status": "SUCCESS"}	5 June 2026	5 June 2026	Done	Processes a debit withdrawal request with balance validation, rejecting insufficient funds and committing the updated balance on success.
View All Withdrawal Logs	GET	NONE	/api/bank/transactions/withdrawal-logs/	[{"id": 2, "account": 1, "transaction_type": "WITHDRAWAL", "amount": "2000.00", "counter_id": null, "timestamp": "2026-06-05T11:00:00Z"}]	5 June 2026	5 June 2026	Done	Fetches a complete historical record of all WITHDRAWAL-type transactions for cashier-level audit trail verification.
Fetch Account Statement	GET	NONE	/api/bank/accounts/<id>/statement/	[{"transaction_id": "TXN_DEP_9981", "type": "DEPOSIT", "amount": "15000.00", "timestamp": "2026-06-04"}]	5 June 2026	5 June 2026	Done	Returns a chronological list of all credits and debits linked to a specific account ID for customer-facing statement generation.
Select Card Type	GET	NONE	/api/choices/card-types/	[{ "id": 1, "card_type": "VISA_PLATINUM", "is_default": false },{ "id": 2, "card_type": "VISA_CLASSIC", "is_default": true },{ "id": 3, "card_type": "MASTERCARD_GOLD", "is_default": false }]				
Issue Debit/Credit Card	POST	{"account_id": 1, "card_type_id": 1}	/api/bank/cards/	{"id": 12,"account_id": 1,"card_number": "4321-5566-7788-9900","card_type_id": 1, "is_blocked": false,"issued_at": "2026-06-05T10:00:00Z"}	5 June 2026	5 June 2026	Done	Provisions a new VISA/card instrument mapped to an active bank account, generating a masked card number with active status
Retrieve Card Details	GET	NONE	/api/bank/cards/12/	{"id": 12, "account": 1, "card_number": "4321-5566-7788-9900", "card_type": "VISA_PLATINUM", "is_blocked": false, "block_reason": null}	5 June 2026	5 June 2026	Done	Queries a single card record by ID to inspect its block status, card type, and linked account metadata.
List all cards	GET	NONE	/api/bank/cards/	[{"id": 12, "account": 1, "card_number": "4321-5566-7788-9900", "card_type": "VISA_PLATINUM", "is_blocked": false, "block_reason": null}]	5 June 2026	5 June 2026	Done	Returns a directory of all issued cards across the system for administrative card management and fraud monitoring.
Card Block Reason	GET	NONE	/api/choices/card-block-reasons/	[{"id": 1, "reason": "LOST"},{"id": 2, "reason": "STOLEN"}, {"id": 3,"reason": "FRAUD_SUSPECTED"}]	9 June 2026	9 June 2026		
Block Card / Fraud Flag	PATCH	{"is_blocked": true, "block_reason_id": 1}	/api/bank/cards/<id>/	{"id": 12, "card_number": "4321-5566-7788-9900", "is_blocked": true}	5 June 2026	5 June 2026	Done	Performs a partial update on card status to immediately halt transaction capability and log the block reason for fraud investigation.
Reset Card PIN	POST	{"old_pin_encrypted": "hash...", "new_pin_encrypted": "hash..."}	/api/bank/cards/<id>/reset-pin/	{"message": "PIN updated successfully through authenticated session."}	5 June 2026	5 June 2026	Done	Authenticates and processes an encrypted PIN replacement request, updating credentials securely without exposing raw PIN values.
Simulate Overdraft Error	POST	{ "account_id": 1, "amount": "9999999.00"}	/api/bank/transactions/withdraw/	{"error": "INSUFFICIENT_FUNDS", "code": 400, "message": "Transaction declined: Requested amount exceeds current balance."}	5 June 2026	5 June 2026	Done	Tests the withdrawal guard logic by submitting an amount exceeding account balance, triggering a controlled INSUFFICIENT_FUNDS rejection response
Log Security Alert	POST	{"event_type_id": 1,"severity_id": 4}	/api/bank/audit/logs/	{"log_id": "AUDIT_8892", "incident_tracked": true}	5 June 2026	5 June 2026	Done	Registers a real-time security incident such as brute force or intrusion attempt into the audit log with severity classification.
Fetch Central Audit Trails	GET	NONE	/api/bank/audit/logs/	[{"log_id": "AUDIT_8892", "event_type": "BRUTE_FORCE_ATTEMPT", "timestamp": "2026-06-04"}]	6 June 2026	6 June 2026	Done	Fetching the Audit Logs from here
Close Account	DELETE	NONE	/api/bank/accounts/<id>/	HTTP 204 No Content	6 June 2026	6 June 2026	Done	Delete the customer account
Select KYC Status	GET	NONE	/api/choices/kyc-statuses/	[{ "id": 1, "status": "PENDING", "is_default": true },{ "id": 2, "status": "APPROVED", "is_default": false },{ "id": 3, "status": "REJECTED", "is_default": false }]	9 June 2026	9 June 2026	Done	
Trigger KYC Verification	POST	{"remarks": "Documents physically verified"}	/api/bank/customers/<id>/verify/	{"id": 1, "kyc_status": "APPROVED", "verified_at": "2026-06-04"}	6 June 2026	6 June 2026	Done 	KYC Verification
Check KYC status	GET	NONE	/api/bank/customers/1/kyc-status/	{"id": 1, "first_name": "Anam", "last_name": "Parwez", "kyc_status": "APPROVED"}	6 June 2026	6 June 2026	Done	Check The status of KYC verification
 List all manager	GET	NONE	/api/admin/staff/?role=1	[{"id": 102, "username": "manager_raj", "email": "raj@bank.com", "role": 1, "is_active": true, "is_staff": true, "date_joined": "2026-06-05T10:00:00Z"}]	9 June 2026	9 June 2026	Done	
LiST all Cashier	GET	NONE	/api/admin/staff/?role=2	[{"id": 105, "username": "cashier_amit", "email": "amit@bank.com", "role": 2, "is_active": true, "is_staff": true, "date_joined": "2026-06-05T11:20:00Z"}]	9 June 2026	9 June 2026	Done	
LIST all Auditor	GET	NONE	/api/admin/staff/?role=3	[{"id": 110, "username": "auditor_anam", "email": "anam.p@shieldops.com", "role": 3, "is_active": true, "is_staff": true, "date_joined": "2026-06-03T09:00:00Z"}]	9 June 2026	9 June 2026	Done	
Lst of all Pending Staff	GET	NONE	/api/admin/staff/?is_active=false	[{"id": 115, "username": "trainee_rahul", "email": "rahul@bank.com", "role": 2, "is_active": false, "is_staff": true, "date_joined": "2026-06-08T14:00:00Z"}]	9 June 2026	9 June 2026	Done	
List of all Active staff	GET	NONE	/api/admin/staff/?is_active=true	[{"id": 102, "username": "manager_raj", "email": "raj@bank.com", "role": 1, "is_active": true, "is_staff": true, "date_joined": "2026-06-05T10:00:00Z"}]	9 June 2026	9 June 2026	Done	
Search by name	GET	NONE	/api/admin/staff/?search=raj	[{"id": 102, "username": "manager_raj", "email": "raj@bank.com", "role": 1, "is_active": true, "is_staff": true, "date_joined": "2026-06-05T10:00:00Z"}]	9 June 2026	9 June 2026	Done	
List by joining date	GET	NONE	/api/admin/staff/?ordering=-date_joined	[{"id": 102, "username": "manager_raj", "date_joined": "2026-06-05T10:00:00Z"}, {"id": 110, "username": "auditor_anam", "date_joined": "2026-06-03T09:00:00Z"}]	9 June 2026	9 June 2026	Done	
List of Kyc Pending of Customer	GET	NONE	/api/bank/customers/?kyc_status=1	[{"id": 4, "first_name": "Vikram", "last_name": "Singh", "email": "vikram@mail.com", "phone": "9123456789", "kyc_status": 1, "created_at": "2026-06-08T10:00:00Z"}]	9 June 2026	9 June 2026	Done	
List of KYC active	GET	NONE	/api/bank/customers/?kyc_status=2	[{"id": 1, "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com", "phone": "9876543210", "kyc_status": 2, "created_at": "2026-06-03T08:30:00Z"}]	9 June 2026	9 June 2026	Done	
List by name	GET	NONE	/api/bank/customers/?search=anam	[{"id": 1, "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com", "kyc_status": 2}]	9 June 2026	9 June 2026	Done	
Threat Status Dropdown	GET	NONE	/api/choices/threat-statuses/	[{"id": 1, "status": "CRITICAL"}, {"id": 2, "status": "PATCHED_SECURED"}, {"id": 3, "status": "UNDER_REVIEW"}]	9 June 2026	9 June 2026	Done	
Vulnerability update on ctitical	GET	NONE	/api/vulnerabilities/?status=1	[{"id": 1, "threat_title": "DB Missing Encryption", "target_date": "2026-06-15", "status": 1, "severity": 4, "remarks": null}]	9 June 2026	9 June 2026	Done	
Vulnerability on resolved threats	GET	NONE	/api/vulnerabilities/?status=2	[{"id": 3, "threat_title": "Outdated SSH Protocol", "target_date": "2026-06-04", "status": 2, "severity": 3, "remarks": "Patched via OpenSSH upgrade"}]	9 June 2026	9 June 2026	Done	
Select severity Level	GET	NONE	/api/choices/severity-levels/	[{"id": 1, "level": "LOW"}, {"id": 2, "level": "MEDIUM"}, {"id": 3, "level": "HIGH"}, {"id": 4, "level": "CRITICAL"}]	9 June 2026	9 June 2026	Done	
High Severity	GET	NONE	/api/vulnerabilities/?severity=3	[{"id": 7, "threat_title": "XSS Vulnerability in Login", "status": 3, "severity": 3, "remarks": "Under patch development"}]	9 June 2026	9 June 2026	Done	
LOW severity	GET	NONE	/api/vulnerabilities/?severity=1	[{"id": 12, "threat_title": "Server Banner Information Leak", "status": 2, "severity": 1, "remarks": "Mitigated"}]	9 June 2026	9 June 2026	Done	
Audit event Type	GET	NONE	/api/choices/event-types/	[{"id": 1, "type": "BRUTE_FORCE_ATTEMPT"}, {"id": 2, "type": "PARAMETER_TAMPERING"}, {"id": 3, "type": "MALICIOUS_BALANCE_INJECTION"}]	9 June 2026	9 June 2026	Done	
Logged in auditor threats only	GET	NONE	/api/vulnerabilities/?assigned_to=me	[{"id": 1, "threat_title": "DB Missing Encryption", "status": 1, "severity": 4}]	9 June 2026	9 June 2026	Done	
Search by threat tittle	GET	NONE	/api/vulnerabilities/?search=encryption	[{"id": 1, "threat_title": "DB Missing Encryption", "status": 1, "severity": 4}]	9 June 2026	9 June 2026	Done	
Admin dashboard	GET	NONE	/api/admin/dashboard/summary/	{"total_customers": 1420, "pending_kyc": 12, "active_staff": 34, "open_vulnerabilities": 3, "system_health": "OPTIMAL"}	9 June 2026	9 June 2026	Done	
List Saving accounts	GET	NONE	/api/bank/accounts/?account_type=1	[{"id": 1, "customer": 1, "account_number": "SHIELD987654", "account_type": 1, "balance": "5000.00", "is_active": true}]	9 June 2026	9 June 2026	Done	
List frozen account	GET	NONE	/api/bank/accounts/?is_active=false	[{"id": 8, "customer": 44, "account_number": "SHIELD112233", "account_type": 2, "balance": "0.00", "is_active": false}]	9 June 2026	9 June 2026	Done	
List active account	GET	None	/api/bank/accounts/?is_active=true	{"id": 1,"customer_id": 1, "account_type_id": 1, "balance": "5000.00","is_active": true}	9 June 2026	9 June 2026	Done	
Transaction type dropdown	GET	NONE	/api/choices/transaction-types/	[{"id": 1,"type": "DEPOSIT"},{"id": 2, "type": "WITHDRAWAL"},{ "id": 3, "type": "TRANSFER"}]	9 June 2026	9 June 2026		
Transaction from date	GET	NONE	/api/bank/transactions/?from_date=2026-06-01	[{"id": 1, "transaction_id": "TXN_DEP_9981", "account": 1, "transaction_type": "DEPOSIT", "amount": "15000.00", "timestamp": "2026-06-05T10:00:00Z"}]	8 June 0206	8 June 2002	Done	
Transaction to date	GET	NONE	/api/bank/transactions/?to_date=2026-06-07	[{"id": 2, "transaction_id": "TXN_WTH_9982", "account": 1, "transaction_type": "WITHDRAWAL", "amount": "2000.00", "timestamp": "2026-06-05T11:00:00Z"}]	8 June 0206	8 June 2026	Done	
Latest transcation	GET	NONE	/api/bank/transactions/?ordering=-timestamp	[{"id": 2, "transaction_id": "TXN_WTH_9982", "timestamp": "2026-06-05T11:00:00Z"}, {"id": 1, "transaction_id": "TXN_DEP_9981", "timestamp": "2026-06-05T10:00:00Z"}]	8June 2026	8 June 2026	Done	
Fund transfer dropdown	GET	NONE	/api/choices/transfer-types/	[{ "id": 1,"type": "IMPS"}, {"id": 2,"type": "NEFT"},{"id": 3,"type": "RTGS"}]	9 June 2026	9 June 2026		
Fund Transfer (NEFT/IMPS)	POST	{"from_account_id": 1,"to_account_id": 2, "transfer_type_id": 1,"amount": "5000.00"}	/api/bank/transactions/transfer/	{"status": "SUCCESS", "transaction_id": "TXN_TRF_20268891", "reference_no": "REF_IMPS_998102", "from_account_id": 1, "from_account_number": "SHIELD987654", "to_account_id": 2, "to_account_number": "SHIELD112233", "amount": "5000.00", "source_updated_balance": "45000.00", "destination_updated_balance": "12500.00"}	9 June 2026	9 June 2026		
Loan Type	GET	NONE	/api/choices/loan-types/	[ {"id": 1,"loan_type": "PERSONAL_LOAN"}, {"id": 2,"loan_type": "HOME_LOAN"}, {"id": 3,"loan_type": "CAR_LOAN"}]	9 June 2026	9 June 2026		
Counter Dropdown	GET	NONE	/api/choices/counters/	[{ "id": 1,"counter_name": "COUNTER_01"}, {"id": 2,"counter_name": "COUNTER_02"}]	9 June 2026	9 June 2026		
Apply for Loan	POST	{"customer_id": 1,"loan_type_id": 1,"amount": "50000.00", "tenure_months": 12}	/api/bank/loans/apply/	{"loan_id": 45, "customer_id": 1, "loan_type_id": 1, "amount": "50000.00", "tenure_months": 12, "status_id": 1, "applied_at": "2026-06-09T..."}	9 June 2026	9 June 2026		
Loan Status	GET	NONE	/api/choices/loan-statuses/	[{"id": 1,"status": "PENDING"},{"id": 2,"status": "APPROVED" },{"id": 3,"status": "REJECTED"}]	9 June2026	9 June 2026		
Loan Decision	GET	NONE	/api/choices/loan-decisions/	[ {"id": 1,"decision": "REJECT"}, {"id": 2,"decision": "APPROVE"}]	9 June2026	9 June 2026		
Approve / Reject Loan	PATCH	{ "decision_id": 2,"interest_rate": "8.5"}	/api/bank/loans/<id>/approve/	{"loan_id": 45, "status_id": 2, "interest_rate": "8.5", "approved_by_staff_id": 102, "disbursed_to_account_id": 1, "disbursed_amount": "50000.00", "transaction_reference": "TXN_LOAN_DISB_88192"}	9 June2026	9 June 2026		
EMI Schedule	GET	NONE	/api/bank/loans/<id>/emi-schedule/	[{"month": 1, "emi": "4500.00", "principal": "3900.00", "interest": "600.00", "remaining_balance": "46100.00"}, {"month": 2, "emi": "4500.00", "principal": "3946.00", "interest": "554.00", "remaining_balance": "42154.00"}]	9 June 2026	9 June 2026		
Password Change	POST	{"old_password": "...", "new_password": "...", "confirm_password": "..."}	/api/auth/password/change/	{"status": "SUCCESS", "user_id": 110, "message": "Password changed successfully. All other sessions for User 110 invalidated."}	9 June 2026	9 June 2026		
Active Sessions List	GET	NONE	/api/auth/sessions/	[{"session_id": "sess_109A", "device": "Chrome / Windows 11", "ip_address": "103.22.1.4", "is_current_session": true, "last_active": "2026-06-09T..."}]	9 June 2026	9 June 2026		
Force Logout Session	POST	NONE	/api/auth/sessions/<session_id>/revoke/	{"status": "REVOKED", "session_id": "sess_112B", "message": "Session token successfully invalidated."}	9 June 2026	9 June 2026		
Download Account Statement	GET	None (Uses Query Params: ?from_date=2026-06-01&to_date=2026-06-30)	/api/bank/accounts/<id>/statement/pdf/	[Binary PDF Stream Data with Headers: Content-Type: application/pdf]	9 June 2026	9 June 2026		
Communicatio Type	GET	NONE	/api/choices/communication-types/	[{"id": 1,"type": "OTP"},{"id": 2,"type": "EMAIL"},{"id": 3,"type": "SMS"}]	9 June 2026	9 June 2026		
Notification status dropdown	GET	NONE	/api/choices/notification-statuses/	[{"id": 1, "status": "PENDING"}, {"id": 2,"status": "SENT"}, {"id": 3,"status": "FAILED"}]	9 June 2026	9 June 2026		
Notification Logs	GET	NONE	/api/bank/notifications/	[{"id": 2041, "user_id": 1, "communication_type_id": 1, "message": "Your securing code is 482910.", "sent_at": "2026-06-08T...", "status_id": 2}]	9 June 2026	9 June 2026		
OTP Generation (2FA)	POST	{}	/api/auth/otp/generate/	{"status": "SENT", "message": "OTP has been sent successfully to your registered mobile/email", "expires_in_seconds": 300}	9 June 2026	9 June 2026		
Add Account Type	POST	{"type": "FIXED_DEPOSIT","label": "Fixed Deposit"}	/api/choices/account-types/	{"id": 3, "type": "FIXED_DEPOSIT", "is_default": false}	10 June 2026	10 June 2026		
Add Role Type	POST	{"role": "security_auditor"}	/api/admin/roles/	{"id": 3, "role": "SECURITY_AUDITOR", "is_default": false}	10 June 2026	10 June 2026		
Add Card Type	POST	{"card_type": "MASTERCARD_GOLD"}	/api/choices/card-types/	{"id": 3, "card_type": "MASTERCARD_GOLD", "is_default": false}	10 June 2026	10 June 2026		
Add Card Block Reason	POST	{"reason": "FRAUD_SUSPECTED"}	/api/choices/card-block-reasons/	{"id": 3, "reason": "FRAUD_SUSPECTED"}	10 June 2026	10 June 2026		
Add KYC Status	POST	{""status": "REJECTED"}	/api/choices/kyc-statuses/	{"id": 3, "status": "REJECTED", "is_default": false}	10 June 2026	10 June 2026		
Add Threat Status	POST	{"status": "UNDER_REVIEW"}	/api/choices/threat-statuses/	{"id": 3, "status": "UNDER_REVIEW"}	10 June 2026	10 June 2026		
Add Severity Level	POST	{"level": "CRITICAL"}	/api/choices/severity-levels/	{"id": 4, "level": "CRITICAL"}	10June 2026	10 June 2026		
Add Audit Event Type	POST	{"type": "TRANSFER"}	/api/choices/transaction-types/	{"id": 3, "type": "TRANSFER"}	10 June 2026	10 June 2026		
Add Fund Transfer Type	POST	{"type": "RTGS"}	/api/choices/transfer-types/	{"id": 3, "type": "RTGS"}	10 June 2026	10 June 2026		
Add Loan Type	POST	{"loan_type": "CAR_LOAN"}	/api/choices/loan-types/	{"id": 3, "loan_type": "CAR_LOAN"}	10 June 2026	10 June 2026		
Add Counter Log	POST	{"counter_name": "COUNTER_02"}	/api/choices/counters/	{"id": 2, "counter_name": "COUNTER_02"}	10 June 2026	10 June 2026		
Loan Status	POST	{"status": "REJECTED"}	/api/choices/loan-statuses/	{"id": 3, "status": "REJECTED"}	10 June 2026	10 June 2026		
Add Loan Decision	POST	{"decision": "APPROVE"}	/api/choices/loan-decisions/	{"id": 2, "decision": "APPROVE"}	10 June 2026	10 June 2026		
Add Communication Type	POST	{"type": "SMS"}	/api/choices/communication-types/	{"id": 3, "type": "SMS"}	10 June 2026	10 June 2026		
Add Notification Status	POST	{"status": "FAILED"}	/api/choices/notification-statuses/	{"id": 3, "status": "FAILED"}	10June 2026	10 June 2026		
Retrieve Account Detail	GET	NONE	/api/bank/accounts/<id>/	{"id": 1, "account_number": "SHIELD987654", "balance": "5000.00", "is_active": true}	10 June 2026	10 June 2026		
List All Loans Distributed	GET	NONE	/api/bank/loans/	[{"loan_id": 45, "customer_id": 1, "amount": "50000.00", "status_id": 1}]	10 June 2026	10 June 2026		
Retrieve Single Loan Detail	GET	NONE	/api/bank/loans/<id>/	{"loan_id": 45, "customer_id": 1, "amount": "50000.00", "status_id": 1}	10 June 2026	10 June 2026		
List Full Transfer History	GET	NONE	/api/bank/transactions/transfers-list/	[{"transaction_id": "TXN_TRF_20268891", "amount": "5000.00", "status": "SUCCESS"}]	10 June 2026	10 June 2026		
Retrieve Single Notification	GET	NONE	/api/bank/notifications/<id>/	{"id": 2041, "user_id": 1, "message": "Your securing code is 482910.", "status_id": 2}	10 June 2026	10 June 2026		
Filter Accounts by Type	GET	NONE	/api/bank/accounts/?account_type=<id>	[{"id": 1, "account_number": "SHIELD987654", "account_type_id": 1, "balance": "5000.00"}, {"id": 5, "account_number": "SHIELD112233", "account_type_id": 1, "balance": "12000.00"}]	11 June 2026	11 June 2026		
Filter Staff by Role ID	GET	NONE	/api/admin/staff/?role_id=3	[{"id": 110, "username": "auditor_anam", "role_id": 3}, {"id": 112, "username": "auditor_amit", "role_id": 3}]	11 June 2026	11 June 2026		
Filter Vulnerabilities by Status ID	GET	NONE	/api/vulnerabilities/?status_id=1	[{"id": 1, "threat_title": "DB Missing Encryption", "status_id": 1}]	11 June 2026	11 June 2026		
Filter Vulnerabilities by Severity ID	GET	NONE	/api/vulnerabilities/?severity_id=4	[{"id": 1, "threat_title": "DB Missing Encryption", "severity_id": 4}]	11 June 2026	11 June 2026		
Filter Customers by KYC Status ID	GET	NONE	/api/bank/customers/?kyc_status_id=2	[{"id": 1, "first_name": "Anam", "kyc_status_id": 2}]	11 June 2026	11 June 2026		
Filter Loans by Status ID	GET	NONE	/api/bank/loans/?status_id=1	[{"loan_id": 45, "customer_id": 1, "amount": "50000.00", "status_id": 1}]	11 June 2026	11 June 2026		
Filter Audit Logs by Event Type ID	GET	NONE	/api/bank/audit/logs/?event_type_id=1	[{"log_id": "AUDIT_8892", "event_type_id": 1}]	11 June 2026	11 June 2026		
Filter Transactions by Type ID	GET	NONE	/api/bank/transactions/?transaction_type_id=3	[{"id": 9, "transaction_id": "TXN_TRF_20268891", "transaction_type_id": 3}]	11 June 2026	11 June 2026		
Filter Notifications by Status ID	GET	NONE	/api/bank/notifications/?status_id=3	[{"id": 2041, "user_id": 1, "status_id": 3, "message": "Failed alert"}]	11 June 2026	11 June 2026		
Filter Active Staff Sessions	GET	NONE	/api/auth/sessions/?is_active_session=true	[{"session_id": "sess_109A", "device": "Chrome / Windows 11", "ip_address": "103.22.1.4"}]	12 June 2026	12 June 2026		
Filter Customer by Exact Email	GET	NONE	/api/bank/customers/?email=anam.p@shieldops.com	[{"id": 1, "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com"}]	12 June 2026	12 June 2026		
Filter Loans Distributed by Customer ID	GET	NONE	/api/bank/loans/?customer_id=1	[{"loan_id": 45, "customer_id": 1, "amount": "50000.00", "status_id": 1}]	12 June 2026	12 June 2026		
Filter Multi-Type Staff Records	GET	NONE	/api/admin/staff/?role_id__in=1,3	[{"id": 102, "role_id": 1, "username": "manager_raj"}, {"id": 110, "role_id": 3, "username": "auditor_anam"}]	12 June 2026	12 June 2026		
Filter Open Threats by Auditor ID	GET	NONE	/api/vulnerabilities/?assigned_to_id=110	[{"id": 1, "threat_title": "DB Missing Encryption", "status_id": 1, "assigned_to_id": 110}]	12 June 2026	12 June 2026		
Filter Accounts by Risk/Freeze Status	GET	NONE	/api/bank/accounts/?is_active=false	[{"id": 8, "account_number": "SHIELD112233", "balance": "0.00", "is_active": false}]	12 June 2026	12 June 2026		
Filter Transactions by Combined Bounds	GET	NONE	/api/bank/transactions/?transaction_type_id=1&counter_id=5	[{"id": 1, "transaction_id": "TXN_DEP_9981", "transaction_type_id": 1, "counter_id": 5}]	12 June 2026	12 June 2026		
